Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.21489143371582,24.682223683318185,23.7763515496625,24.67114878668056,212818400
2015-01-05,23.532718658447266,24.064281582572935,23.346672564388854,23.984547059464486,257142000
2015-01-06,23.53493881225586,23.79407522071628,23.17391806682534,23.596954189686496,263188400
2015-01-07,23.864946365356445,23.96461367890052,23.632387047364233,23.74312925787633,160423600
2015-01-08,24.781890869140625,24.83947728974081,24.075355049974863,24.192743208450004,237458000
2015-01-09,24.808473587036133,25.083113830448443,24.40980090321807,24.954652444574595,214798000
2015-01-12,24.197172164916992,24.9457888739138,24.097504854799798,24.93914461187825,198603200
2015-01-13,24.41201400756836,24.983444239302276,24.121869946634853,24.680009963584943,268367600
2015-01-14,24.318992614746094,24.471815731969652,24.031062161775676,24.1506639642499,195826400
2015-01-15,23.658973693847656,24.376582984673746,23.62353705333151,24.363294455704267,240056000
2015-01-16,23.475133895874023,23.82729501276512,23.300160996132067,23.705477902251076,314053200
2015-01-20,24.07978057861328,24.135151670197732,23.588085014976688,23.884873254769378,199599600
2015-01-21,24.263620376586914,24.598060654669688,23.98011888215598,24.13072836459436,194303600
2015-01-22,24.894847869873047,24.910351710886655,24.301269587107605,24.42087137055198,215185600
2015-01-23,25.023313522338867,25.19385580272566,24.702160060868348,24.87270403104737,185859200
2015-01-26,25.04988670349121,25.328957536245927,24.983442393649014,25.191636592238247,222460000
2015-01-27,24.172815322875977,24.912574343678344,24.148451895587154,24.899284126198346,382274800
2015-01-28,25.539371490478516,26.16174394651588,25.539371490478516,26.05321534893324,585908400
2015-01-29,26.334501266479492,26.398731959324124,25.594742329744967,25.763070983758755,337745600
2015-01-30,25.949119567871094,26.57813460918825,25.8804582377386,26.2237598190242,334982000
2015-02-02,26.274696350097656,26.39429814064602,25.709912088376672,26.146236669694193,250956400
2015-02-03,26.279132843017578,26.376584861276278,26.048788790219216,26.245909834382662,207662800
2015-02-04,26.480676651000977,26.6910878633719,26.203821126664508,26.2459037070971,280598800
2015-02-05,26.669687271118164,26.73417145961258,26.516259315856928,26.68747466730253,168984800
2015-02-06,26.445106506347656,26.738619769850555,26.338373639409618,26.68747654900368,174826400
2015-02-09,26.620759963989258,26.647441898327116,26.333917294632176,26.360600925430763,155559200
2015-02-10,27.13218879699707,27.161096493457006,26.718603465831738,26.720825829820146,248034000
2015-02-11,27.768138885498047,27.777033432281677,27.238926075331964,27.29896214554481,294247200
2015-02-12,28.11945915222168,28.34626580003288,27.92156019868773,28.030515402030247,297898000
2015-02-13,28.257333755493164,28.301804800780626,27.93936086194907,28.301804800780626,217088800
2015-02-17,28.424089431762695,28.657566551525495,28.22174236844016,28.34848665436432,252609600
2015-02-18,28.621994018554688,28.635334989242327,28.339597698284383,28.379622306808475,179566800
2015-02-19,28.561952590942383,28.690920945904033,28.535270652992356,28.56862307542989,149449600
2015-02-20,28.79543113708496,28.79543113708496,28.473011930350665,28.599754534742676,195793600
2015-02-23,29.57367706298828,29.57367706298828,28.83100057360226,28.911049760015914,283896400
2015-02-24,29.389127731323242,29.707102206832975,29.16676919202935,29.56034475659771,276912400
2015-02-25,28.637561798095703,29.2623922966303,28.49525243380308,29.25349605284289,298846800
2015-02-26,29.0,29.10006066310566,28.152814516558337,28.637554498809845,365150000
2015-02-27,28.56418228149414,29.033358981619905,28.51526312656748,28.906612973058365,248059200
2015-03-02,28.70425796508789,28.968865123087966,28.52859624288527,28.739836139406872,192386800
2015-03-03,28.76430320739746,28.799881390989704,28.481906888632807,28.67536114133918,151265200
2015-03-04,28.581968307495117,28.80877499266501,28.533052544931437,28.706491953319468,126665200
2015-03-05,28.108348846435547,28.628667108118552,27.963815430480935,28.590866556757582,226068400
2015-03-06,28.150588989257812,28.766521358455478,28.07498790488838,28.550833317284816,291368400
2015-03-09,28.27066421508789,28.81099722348831,27.808158051686863,28.452998147289698,354114000
2015-03-10,27.685867309570312,28.288458858638602,27.527992921124646,28.10834895145407,275426400
2015-03-11,27.181110382080078,27.7436772774365,27.152204379492783,27.739230852600457,275756000
2015-03-12,27.672521591186523,27.77258395917488,27.045470531678525,27.19667441748349,193450800
2015-03-13,27.481287002563477,27.88375705290027,27.25670613246225,27.661398546412165,207309200
2015-03-16,27.78370475769043,27.78370475769043,27.32120018619715,27.54578113753917,143497200
2015-03-17,28.24842643737793,28.310686551220204,27.939348231903164,27.994937861613888,204092400
2015-03-18,28.5664005279541,28.71982845602437,28.09944795575962,28.23953321847968,261083600
2015-03-19,28.350709915161133,28.73983730615354,28.32847440353944,28.62865805158428,183238000
2015-03-20,27.994937896728516,28.55083249807218,27.830393067587416,28.517480077372603,274780400
2015-03-23,28.28622817993164,28.428537502319035,28.13280025254547,28.266216726686977,150838800
2015-03-24,28.170602798461914,28.470784779166674,28.14169510373466,28.290676608620394,131369200
2015-03-25,27.434602737426758,28.199516844224117,27.434602737426758,28.137256709291577,206620800
2015-03-26,27.62582778930664,27.768137135955826,27.26115987646045,27.296738061353363,190291600
2015-03-27,27.405689239501953,27.728108434323467,27.330088152452873,27.69920243570958,158184800
2015-03-30,28.099445343017578,28.10611582684197,27.572455066900133,27.58357367091465,188398800
2015-03-31,27.668075561523438,28.12613365015108,27.652510530253405,28.03718988726754,168362400
2015-04-01,27.628047943115234,27.821500479076686,27.372335288856576,27.754792240066255,162485600
2015-04-02,27.86597442626953,27.919340005191067,27.614709866405345,27.801490240861305,128880400
2015-04-06,28.31736183166504,28.35294001500725,27.645839737461767,27.676969799655623,148776000
2015-04-07,28.01939582824707,28.488570715367082,28.012725344497895,28.381839582458724,140049200
2015-04-08,27.928226470947266,28.106113944501214,27.78814123063449,27.983816094375292,149316800
2015-04-09,28.14168930053711,28.146137420252174,27.719209536478758,27.98381497986446,129936000
2015-04-10,28.26177215576172,28.286231732662372,27.852633226625628,28.006059476821086,160752000
2015-04-13,28.206180572509766,28.588639230734085,28.152814997705434,28.544164808218575,145460400
2015-04-14,28.083881378173828,28.304015835014305,27.99716169225301,28.239531661503285,102098400
2015-04-15,28.190614700317383,28.268439848011404,28.019399375390535,28.108343128381268,115881600
2015-04-16,28.054969787597656,28.261763247554963,28.041628821297383,28.079429356788566,113476000
2015-04-17,27.739227294921875,28.048305523453024,27.674743116071788,27.917114801850463,207828000
2015-04-20,28.372947692871094,28.488573380415158,27.832616404650924,27.921560154702245,188217200
2015-04-21,28.21952247619629,28.506363493308605,28.166155206372657,28.484129675573577,129740400
2015-04-22,28.599754333496094,28.65534396850471,28.088330709293473,28.23731052396591,150618000
2015-04-23,28.83322525024414,28.99999411924272,28.493017028920743,28.528595201941556,183083600
2015-04-24,28.968870162963867,29.04669700871143,28.73539301864322,29.015566948996813,178103600
2015-04-27,29.495861053466797,29.602595603096105,29.162323219950373,29.420259958837757,387816800
2015-04-28,29.031126022338867,29.9161119268668,28.810993272703,29.89832623214437,475696000
2015-04-29,28.604196548461914,29.26015342754499,28.528595474760703,28.942182409549172,253544400
2015-04-30,27.828174591064453,28.60420550349986,27.701430277592415,28.60420550349986,332781600
2015-05-01,28.67314338684082,28.93552832291123,27.8615357805452,28.03942165877012,234050400
2015-05-04,28.61754608154297,29.033358897210668,28.5197077719741,28.795433608675246,203953200
2015-05-05,27.972705841064453,28.561954632389803,27.968257720114217,28.495246389824892,197085600
2015-05-06,27.797039031982422,28.183942381380493,27.430147135062807,28.141693719755914,288564000
2015-05-07,27.968976974487305,28.152072553223462,27.69209940387363,27.859564934554776,175763600
2015-05-08,28.49593734741211,28.49593734741211,28.158772911254516,28.28604665551237,222201600
2015-05-11,28.20566177368164,28.48253764789053,28.051592936345216,28.444579202141632,168143200
2015-05-12,28.105180740356445,28.330699748396363,27.8707283299041,28.044892198904186,192640000
2015-05-13,28.13644027709961,28.399919425982123,28.105180183465016,28.167700370734202,138776800
2015-05-14,28.792905807495117,28.792905807495117,28.39322291254819,28.449044755295212,180814000
2015-05-15,28.752716064453125,28.913483246079785,28.627675680320152,28.819702957980056,152832000
2015-05-18,29.06977081298828,29.18811279590865,28.661154691792255,28.66562139126852,203531600
2015-05-19,29.04298973083496,29.223851954649565,28.9469743904439,29.181426809390363,178532800
2015-05-20,29.040756225585938,29.2461802072394,28.879989038710175,29.02735952786213,145819600
2015-05-21,29.337724685668945,29.391314876050284,28.989396965926638,29.04298715630798,158921600
2015-05-22,29.594497680664062,29.69051299277318,29.33995029118235,29.38461047751805,182384000
2015-05-26,28.942502975463867,29.677120208049125,28.830859309109393,29.607901680044442,282790400
2015-05-27,29.482860565185547,29.53198405537011,29.038520913645133,29.103272746836808,183332800
2015-05-28,29.4248046875,29.462763125539038,29.272970935343846,29.44266808312325,122933200
2015-05-29,29.08987808227539,29.351123894449234,29.005027792013937,29.302000400834167,203538000
2015-06-01,29.147930145263672,29.337725761952687,29.038521520643027,29.08987665887506,128451200
2015-06-02,29.01842498779297,29.174725448587594,28.875521222624382,28.996094890353234,134670400
2015-06-03,29.05414581298828,29.237243055991655,29.005022328626115,29.174722877184216,123934000
2015-06-04,28.88445281982422,29.156863669648438,28.78397418995997,28.933576311241353,153800400
2015-06-05,28.72591781616211,28.95813858108162,28.661165980173738,28.915713437081244,142507200
2015-06-08,28.5361270904541,28.85096310562746,28.319538065016676,28.781741157699003,210699200
2015-06-09,28.45126724243164,28.598637677539948,28.049351126180333,28.29050011451236,224301600
2015-06-10,28.777271270751953,28.87998153133153,28.547283897144407,28.56291394160831,156349200
2015-06-11,28.712514877319336,29.067540888725446,28.687953136506042,28.84425357482062,141563600
