Date,AAPL,MSFT,GOOGL,AMZN
2015-01-02,24.21489143371582,39.85845184326172,26.278947830200195,15.425999641418457
2015-01-05,23.532718658447266,39.49192810058594,25.778226852416992,15.10949993133545
2015-01-06,23.53493881225586,38.91229248046875,25.142032623291016,14.76449966430664
2015-01-07,23.864946365356445,39.40666961669922,25.068092346191406,14.920999526977539
2015-01-08,24.781890869140625,40.565956115722656,25.155433654785156,15.02299976348877
2015-01-09,24.808473587036133,40.2249870300293,24.848255157470703,14.846500396728516
2015-01-12,24.197172164916992,39.72208023071289,24.666624069213867,14.570500373840332
2015-01-13,24.41201400756836,39.51749038696289,24.90184783935547,14.737000465393066
2015-01-14,24.318992614746094,39.176536560058594,25.10679817199707,14.66349983215332
2015-01-15,23.658973693847656,38.767372131347656,25.011520385742188,14.34749984741211
2015-01-16,23.475133895874023,39.41520309448242,25.331602096557617,14.536999702453613
2015-01-20,24.07978057861328,39.54307174682617,25.305795669555664,14.472000122070312
2015-01-21,24.263620376586914,39.1424446105957,25.824378967285156,14.862500190734863
2015-01-22,24.894847869873047,40.17383575439453,26.66353988647461,15.515999794006348
2015-01-23,25.023313522338867,40.216468811035156,26.894290924072266,15.619500160217285
2015-01-26,25.04988670349121,40.071556091308594,26.634754180908203,15.482999801635742
2015-01-27,24.172815322875977,36.36359786987305,25.864076614379883,15.337499618530273
2015-01-28,25.539371490478516,35.11055374145508,25.42936134338379,15.195500373840332
2015-01-29,26.334501266479492,35.809532165527344,25.46906280517578,15.58899974822998
2015-01-30,25.949119567871094,34.43716812133789,26.675945281982422,17.726499557495117
2015-02-02,26.274696350097656,35.18727493286133,26.410449981689453,18.223499298095703
2015-02-03,26.279132843017578,35.460052490234375,26.465036392211914,18.177499771118164
2015-02-04,26.480676651000977,35.66462707519531,26.107736587524414,18.237499237060547
2015-02-05,26.669687271118164,36.18458938598633,26.292837142944336,18.694499969482422
2015-02-06,26.445106506347656,36.150489807128906,26.49382209777832,18.714000701904297
2015-02-09,26.620759963989258,36.10787582397461,26.265544891357422,18.527999877929688
2015-02-10,27.13218879699707,36.312442779541016,26.805465698242188,18.649999618530273
2015-02-11,27.768138885498047,36.12491989135742,26.69827651977539,18.756999969482422
2015-02-12,28.11945915222168,36.73012924194336,27.095773696899414,18.85849952697754
2015-02-13,28.257333755493164,37.394996643066406,27.351341247558594,19.09149932861328
2015-02-17,28.424089431762695,37.41217803955078,27.046146392822266,18.771499633789062
2015-02-18,28.621994018554688,37.369239807128906,26.92902946472168,18.668500900268555
2015-02-19,28.561952590942383,37.3434944152832,27.11760711669922,18.950000762939453
2015-02-20,28.79543113708496,37.652557373046875,26.886850357055664,19.183000564575195
2015-02-23,29.57367706298828,37.90149688720703,26.549400329589844,19.006999969482422
2015-02-24,29.389127731323242,37.84999084472656,26.730533599853516,18.929500579833984
2015-02-25,28.637561798095703,37.764156341552734,27.161277770996094,19.26849937438965
2015-02-26,29.0,37.82423782348633,27.75479507446289,19.239999771118164
